12-21 17:54:44.666   973  2606 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.666   973  1397 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.666   973  3286 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.667   973  1604 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.667   973  2932 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.667   973  3017 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.667   973  3231 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.667   973  2161 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.667   973  1981 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.667   973  3304 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.667   973  2153 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.688   973  2223 I art     : Alloc sticky concurrent mark sweep GC freed 16(416B) AllocSpace objects, 0(0B) LOS objects, 33% free, 31MB/47MB, paused 2.956ms total 24.309ms
12-21 17:54:44.688   973  3164 I art     : WaitForGcToComplete blocked for 298.240ms for cause Alloc
12-21 17:54:44.688   973  3164 I art     : Starting a blocking GC Alloc
12-21 17:54:44.688   973  1240 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.690   973  2606 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.690   973  1397 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.690   973  3286 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.690   973  1604 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.690   973  2932 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.690   973  3017 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.690   973  3231 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.690   973  2161 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.690   973  1981 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.690   973  3304 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.691   973  2153 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.709   973  3164 I art     : Alloc sticky concurrent mark sweep GC freed 6051(235KB) AllocSpace objects, 2(40KB) LOS objects, 33% free, 31MB/47MB, paused 3.312ms total 20.884ms
12-21 17:54:44.710   973  1240 I art     : WaitForGcToComplete blocked for 319.318ms for cause Alloc
12-21 17:54:44.710   973  1240 I art     : Starting a blocking GC Alloc
12-21 17:54:44.710   973  2606 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.710   973  1397 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.711   973  3286 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.711   973  1604 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.711   973  2932 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.711   973  3017 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.711   973  3231 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.711   973  2161 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.712   973  1981 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.712   973  3304 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.712   973  2153 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.743   973  1240 I art     : Alloc sticky concurrent mark sweep GC freed 13076(600KB) AllocSpace objects, 7(140KB) LOS objects, 33% free, 31MB/47MB, paused 3.460ms total 29.950ms
12-21 17:54:44.744   973  2606 I art     : WaitForGcToComplete blocked for 353.132ms for cause Alloc
12-21 17:54:44.744   973  2606 I art     : Starting a blocking GC Alloc
12-21 17:54:44.744   973  1397 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.744   973  3286 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.744   973  1604 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.744   973  2932 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.744   973  3017 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.744   973  3231 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.744   973  2161 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.744   973  1981 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.744   973  3304 I art     : Waiting for a blocking GC Alloc
12-21 17:54:44.744   973  2153 I art     : Waiting for a blocking GC Alloc
